id,eng,chn
3082,migrate,vi.迁移，移居
3083,mild,adj.和缓的温柔的味淡的轻微的温和的适度的
3084,mile,n.英里大量海里一英里赛跑
3085,militant,a. 好战的
3086,military,adj.军事的军人的n.军队
3087,milk,n.乳乳状物牛奶vt.挤(奶)产乳
3088,mill,"n.磨坊制造厂磨粉机密尔： 一种货币单位使陷于困境vt.磨细vi.
乱转磨细"
3089,millimetre,n.毫米=millimeter(美)
3090,million,num.百万n.许多百万(the millions)群众adj.百万的无数的
3091,mind,n.头脑理智记忆思想主意心意vt.留心注意介意照顾vi.留心关心
3092,mine,pron.我的n.地雷矿山宝库vt.采矿开凿暗中破坏埋地雷vi.挖掘
3093,miner,n.矿工
3094,mineral,n.矿物矿石adj.矿物的
3095,mingle,vt.使混合vi.混合起来
3096,miniature,n.缩影 a.缩小的
3097,minimal,"a. 最小的,极微的,最小限度的"
3098,minimize,vt.使减到最小
3099,minimum,n.最小量最低限度adj.最低的最小的
3100,minister,n.部长大臣公使vi.照顾给予帮助
3101,ministry,n.(政府的)部(全体)牧师牧师工作
3102,minor,"adj.较小的较次要的二流的未成年的n.未成年人辅修科目[音乐]
小调vi.辅修"
3103,minority,n.少数少数民族未成年
3104,minus,adj.负的减的prep.减(去)n.减号负数缺点
3105,minute,n.分分钟一会儿会议记录adj.微小的不重要的详细的vt.记录
3106,miracle,n.奇迹令人惊奇的人
3107,mirror,n.镜子vt.反映反射
3108,miserable,adj.痛苦的悲惨的贫乏的
3109,misery,n.痛苦，悲惨，不幸
3110,misfortune,n.不幸，灾祸，灾难
3111,mislead,vt.使误入岐途误导使产生错误印象欺骗
3112,miss,n.小姐vt.想念惦念漏掉错过未看到
3113,missile,n.发射物导弹
3114,missing,a.缺掉的失去的失踪的
3115,mission,n.使命任务使团代表团传教vt.传教
3116,missionary,n.传教士
3117,mist,n.薄雾迷蒙朦胧不清vt.使...模糊蒙上雾vi.使...模糊下雾
3118,mistake,n.错误误会vi.误解弄错犯错vt.弄错误认
3119,Mister,n.先生
3120,mistress,n.女主人夫人主妇情妇
3121,misunderstand,vt.误解误会曲解
3122,mix,vt.使混合混淆掺入合成交往联系n.混合(物)融合
3123,mixture,n.混合混合物
3124,moan,n.呻吟声悲叹声抱怨声vi.呻吟v.抱怨呻吟
3125,mobile,"adj.运动的流动的可移动的易变的迁徙的n.(可随风飘动的)悬挂
装置可动雕塑"
3126,mobilize,vt.动员 vi.动员起来
3127,mock,n.嘲弄 vt.嘲弄，挖苦
3128,mode,n.方式样式模式风格时兴
3129,model,n.模型模式模特儿模范
3130,moderate,"a.温和的有节制的适度的稳健的中等的v.节制使...稳定使...缓
和n.稳健的人"
3131,modern,a.现代的近代的时髦的n.现代人时尚人士
3132,modest,adj.有节制的谦虚的适度的端庄的
3133,modify,vt.更改修改修饰调正缓和vi.修改
3134,moist,"adj.湿润的潮湿的多雨的(果物)多汁的,有分泌物的湿性的n.潮
湿"
3135,moisture,n.潮湿湿气温度
3136,molecule,n.分子克分子
3137,moment,n.片刻瞬间时刻准确时刻非常重要的时机力矩
3138,momentum,"n. 动力,要素"
3139,Monday,n.星期一
3140,money,n.货币金钱财富
3141,monitor,"n.班长监视器监听员,显示器v.监视监听监督"
3142,monkey,n.猴子猿v.胡闹乱弄
3143,monopoly,n.垄断，独占，专利
3144,monster,n.怪物；畸形的动植物
3145,month,n.月月份
3146,monthly,"adj.每月的持续一个月的每月发生的adv.每月按月n.月刊(复数
monthlies)月经"
3147,monument,n.纪念碑纪念馆历史遗迹
3148,mood,n.心情情绪语气
3149,moon,n.月球月亮卫星
3150,moral,adj.道德(上)的合乎道德的n.品行寓意道德
3151,morality,n.道德，美德，品行
3152,more,a.更多的程度较大的更大的adv.更多更多进一步n.更多
3153,moreover,adv.再者加之此外而且
3154,morning,n.早晨上午开端
3155,mortal,a.终有一死的；致死的
3156,mortgage,n.抵押 vt.抵押
3157,mosquito,n.蚊子
3158,most,"adj.最多的大多数的几乎全部的adv.最很最多极其n.最多最大
pron.大多数"
3159,mostly,adv.主要的大部分大概
3160,motel,n.汽车游客旅馆
3161,mother,n.母亲妈妈adj.母亲的母体的vt.生育像母亲一样关爱
3162,motion,n.运动打手势提议示意移动动作大便v.运动向...打手势示意
3163,motivate,vt.促动激励激发(兴趣或欲望)给与动机
3164,motive,"n.动机目的主题adj.发动的运动的积极的动机的vt.促使使有动
机"
3165,motor,"n.发动机机动车马达汽车adj.机动的有引擎的汽车的v.(用引擎)
驱动"
3166,mould,"n.模子(样板形状霉菌土类型)模型vt.浇铸模压(铸造发霉形成轮
廓相符合)vi.发霉"
3167,mount,vt.登上爬上提升装备vi.增长骑上(马)n.山峰乘用马框衬纸
3168,mountain,n.山山岳山脉大量
3169,mourn,vi.哀痛，哀悼
3170,mouse,"n.老鼠耗子鼠标胆小如鼠的人乌青色的肿块vi.捕鼠蹑手蹑脚行
动vt.仔细寻找"
3171,mouth,"n. 嘴口口腔开口需要供养的人夸张说话的趋势(河流等)入口容
器的开口vt. 装腔作势说话送进嘴里喃喃自语用唇语说vi.  傲
慢地说嘟嘴扮鬼脸"
3172,mouthful,n.满口一口少量
3173,move,"vt.使移动使...感动推动(有时也意译为""跳槽"")n.移动迁居步骤
动作vi.移动搬家采取行动"
3174,movement,n.动作活动移动运动变动趋势通便运转装置[音]乐章
3175,movie,n.电影电影院
3176,much,adv.非常很adj.许多的pron. &n.许多
3177,mud,n.软泥泥浆恶意诽谤和攻击vt.弄脏污蔑
3178,muddy,adj.多泥的泥泞的肮脏的混浊的v.弄脏使...混浊使迷惑
3179,mug,n.大杯脸一杯的量恶棍vi.扮鬼脸vt.攻击打劫
3180,multiple,adj.复合的并联的许多多种多样的
3181,multiply,vt.使增加乘vi.扩大繁衍做乘法adv.多样地多重地
3182,multitude,n.大批，大群；大量
3183,municipal,a.市的，市立的
3184,murder,n.谋杀凶杀危险物vt.谋杀凶杀折磨损坏vi.谋杀凶杀
3185,murderer,n.杀人犯凶手
3186,murmur,"vi. 低语,低声而言 n.低语"
3187,muscle,n.肌肉肌体力vt.用力挤vi.用力进行
3188,muscular,a.肌肉发达的，强健的
3189,museum,n.博物馆展览馆
3190,mushroom,n.蘑菇菌类植物暴发户vi.扩张迅速增加采蘑菇
3191,music,n.音乐乐曲乐谱伴奏美妙的声音
3192,musical,adj.音乐的和谐的n.音乐片
3193,musician,n.音乐家作曲家
3194,must,v.aux.必须必然要n.必须一定绝对发霉果汁麝香
3195,mute,"adj.缄默的哑的无声的n.哑巴默音字母弱音器vt.减音减弱
vi.(鸟)排泄"
3196,mutter,vi.轻声低语喃喃自语作低沉声抱怨出怨言n.喃喃低语
3197,mutton,n.羊肉
3198,mutual,adj.相互的共同的
3199,my,"pron.我的adj.我的(I的所有格形式)int.哎呦(用于表示惊讶的
感叹词)"
3200,myself,pron.我自己我亲自
3201,mysterious,adj.神秘的难以理解的不可思议的
3202,mystery,n.神秘秘密神秘的人或事物
3203,myth,"n. 神话,虚构的事,虚构的人"
3204,nail,n.钉子指甲vt.钉使牢固抓捕敲定
3205,naive,"a. 天真的,纯真的,朴素的"
3206,naked,adj.裸体的无遮敝的明白的手无寸铁的
3207,name,n.名字名称姓名名誉vt.说出命名称呼任命adj.有名的著名的
3208,namely,adv.即也就是
3209,nap,n.小睡打盹瞌睡绒毛表面vi.小睡疏忽vt.使…起毛
3210,narrative,"n. 叙述,故事 a. 叙述的,叙事的"
3211,narrow,"adj.狭的狭窄的精密的有限的n.狭窄部份海峡隘路vt.变窄使...
狭窄vi.变窄"
3212,nasty,a.龌龊的；淫猥的
3213,nation,n.民族国家
3214,national,adj.民族的国家的n.国民
3215,nationality,n.国籍民族族
3216,native,adj.本土的本国的出生地的天生的n.本地人土著人
3217,natural,adj.自然界的天然的正常的天生的n.有天赋的人
3218,naturally,adv.自然地天然地
3219,nature,n.大自然自然界自然状态本性性质类型
3220,naughty,adj.顽皮的淘气的粗俗的
3221,naval,adj.海军的军舰的<古>船舶的
3222,navigation,n.航行航海术导航
3223,navy,n.海军船队深蓝色
3224,near,"adv.近接近几乎亲近adj.近的接近的亲近的勉强的直接的小气的
近似的prep.靠近vt.靠拢接近vi.接近"
3225,nearby,adj.附近的adv.在附近prep.在...附近
3226,nearly,adv.差不多几乎密切地
3227,neat,adj.整洁的熟练的巧妙的端正的极好的纯的adv.整齐地
3228,necessarily,adv.必然必定必需地
3229,necessary,adj.必要的必需的必然的n.
3230,Necessitate,"vt. 迫使,使成为必需,需要"
3231,necessity,n.必要性必然性需要必需品
3232,neck,n.颈脖子
3233,necklace,n.项链项圈
3234,need,vt.需要必需v.aux.需要n.需要必须缺乏
3235,needle,n.针缝补编织针vt.用针缝激怒嘲弄vi.缝纫
3236,needless,adj.不需要的无用的
3237,negative,adj.否定的消极的负的n.底片负数否定vt.否定
3238,neglect,vt.忽视忽略疏忽不顾n.疏忽忽略怠慢
3239,negligible,a.微不足道的
3240,negotiate,vi.谈判，交涉，议定
3241,Negro,n.(含歧视意味)黑人adj.黑人的
3242,neighbour,n.邻居(邻近的东西邻近值)邻国邻人vt.邻接(相邻接近)
3243,neighbourhood,n.邻居关系邻近
3244,neither,adj.(两者)都不的皆不int.两者都不conj.既非既不
3245,nephew,n.侄子外甥
3246,nerve,n.神经(生物)勇敢胆量精神勇气叶脉vt.鼓起勇气
3247,nervous,adj.神经(质)的易激动的紧张的焦虑的
3248,nest,n.巢窝穴vt.嵌入vi.筑巢
3249,net,"n.网网状物通信网净利实价adj.净余的纯粹的vt.用网捕撒网净
赚"
3250,network,n.网状物网络系统广播网vt.用网覆盖联网vi.加入网络
3251,neutral,adj.中立的中性的n.中立者空挡的素净色
3252,never,adv.永不决不不
3253,nevertheless,conj.然而不过adv.仍然不过
3254,new,adj.新的新近出现的附加的adv.新的
3255,newly,adv.新近重新地最近
3256,news,n.新闻消息
3257,newspaper,n.报纸报报社新闻纸v.从事新闻工作
3258,next,adj.紧接的贴近的下一个的adv.其次n.下一个prep.靠近
3259,nice,adj.美好的令人愉快的漂亮的善意的
3260,nickel,n.镍；镍币
3261,niece,n.侄女外甥女教士的私生女
3262,night,n.夜夜间
3263,nightmare,n.恶梦；经常的恐惧
3264,nine,num.九九个
3265,nineteen,num.十九十九个
3266,ninety,num.九十九十个
3267,ninth,num.第九九分之一adj.第九的九分之一的
3268,nitrogen,n.氮
3269,no,adv.不并不adj.没有不是绝非n.不拒绝否决票
3270,noble,adj.贵族的高尚的宏伟的贵族的高贵的n.贵族
3271,nobody,pron.谁也不无人没有人n.无足轻重的人小人物
3272,nod,vt.点(头)点头表示打盹摆动v.点头打盹使...摆动
3273,noise,n.喧闹声响声噪声vt.谣传vi.大声说话发出噪音
3274,noisy,adj.嘈杂的喧闹的发出噪声的
3275,Nominal,"a. 名义上的,名字的 n. 名词性词"
3276,nominate,vt.提名，推荐；任命
3277,none,pron.没有人没有任何东西adv.毫不一点也不
3278,Nonetheless,"adv. 尽管如此,然而"
3279,nonsense,n.胡说废话荒唐
3280,noon,n.正午中午全盛期顶点
3281,nor,"conj. &adv.也不也没有不""或非""""非或""abbr.诺曼人
(=Norman)abbr.北方(=North)abbr.挪威(= Norway)abbr.挪威人
(=Norwegian)"
3282,norm,n.标准，规范；平均数
3283,normal,adj.正常的正规的普通的n.常态标准
3284,normally,adv.通常正常地
3285,north,n.北北方adj.北北方的adv.向北方
3286,northeast,"n.东北adj.位于东北的东北的向东北的来自东北的adv.向东北来
自东北"
3287,northern,adj.北方的北部的
3288,northwest,"n.西北西北方adj.位于西北的西北的在西北的来自西北的adv.向
西北"
3289,nose,n.鼻子突出部分嗅觉v.嗅嗅到
3290,not,adv.不没有
3291,notable,n.值得注意的；著名的
3292,Notation,"n. 记号法,表示法,注释"
3293,note,n.笔记便条注释备忘录音符音调票据纸币vt.记录注解注意
3294,notebook,n.笔记本笔记本电脑期票簿
3295,nothing,n.没有东西微不足道的人或事adv.毫不pron.什么也没有
3296,notice,vt.注意通知留心n.通知注意布告
3297,noticeable,adj.显而易见的重要的
3298,notify,vt.通知，告知；报告
3299,notion,n.概念，意念；看法
3300,notorious,a.臭名昭著的
3301,notwithstanding,prep.尽管，虽然
3302,noun,n.名词
3303,nourish,vt.提供养分，养育
3304,novel,n.小说adj.新的新奇的
3305,novelty,n.新颖；新奇的事物
3306,November,n.十一月
3307,now,"adv. 现在立刻于是adj. 现存的目前的n. 现在此刻conj. 既然
abbr.=National Organization of Women 全国妇女组织"
3308,nowadays,adv.现今现在
3309,nowhere,adv.任何地方都不n.不知道的地方无处
3310,nuclear,adj.原子核的原子能的核心的
3311,nucleus,n.核核心(原子)核细胞核
3312,nuisance,n.讨厌的东西讨厌的人伤害
3313,number,n.数数字号码数量vi.总计编号vt.编号把...算作
3314,numerical,a.数字的，数值的
3315,numerous,adj.为数众多的许多
3316,nurse,n.保姆护士奶妈vt.看护哺乳vi.看护照顾栽培当看护
3317,nursery,n.托儿所苗圃
3318,nut,n.坚果干果螺母螺帽难对付的人(事)vi.采坚果
3319,Nutrition,"n. 营养,营养学"
3320,nylon,n.尼龙耐纶(复数nylons)：女长袜
3321,oak,n.栎属植物栎木橡树橡木adj.橡木制的
3322,oar,n.浆橹划手v.划行
3323,oath,n.誓言，誓约，宣誓
3324,obedient,n.服从的，顺从的
3325,obey,vt.顺从vi.服从听从
3326,object,n.物物体目的目标宾语v.反对提出...作为反对的理由抱反感
3327,objection,n.反对异议不喜欢
3328,objective,"adj.客观的目标的无偏见的n.目标目的物镜=objective case 宾
语"
3329,obligation,n.义务，职责，责任
3330,oblige,vt.迫使强制施恩惠于vi.帮忙
3331,obscene,"a. 淫秽的,猥亵的"
3332,obscure,a.阴暗的；蒙昧的
3333,observation,n.注意观察观察力评论adj.被设计用来观察的
3334,observe,vt.遵守看到注意到说观察
3335,observer,n.观察员观测者
3336,obstacle,n.障碍障碍物妨害绊脚石
3337,obtain,vt.获得得到买到vi.通用流行存在
3338,obvious,adj.明显的显而易见的
3339,obviously,adv.明显地显然地
3340,occasion,n.场合时刻时机机会理由vt.致使惹起引起
3341,occasional,adj.偶然的临时的不时的
3342,occasionally,adv.偶然非经常地
3343,occupation,n.占领占据侵占职业居住
3344,occupy,vt.占领占占有占据使忙碌居住担任
3345,occur,vi.发生出现存在想到
3346,occurrence,n.发生出现事件
3347,ocean,n.海洋洋大量
3348,Oceania,n.大洋洲
3349,o'clock,ad.=of the clock...点钟
3350,October,n.十月
3351,odd,adj.奇数的单只的古怪的剩余的
3352,odor,"n. 气味,名声,味"
3353,odour,n.气味香气味道=odor(美)
3354,of,prep.出生于住在关于...的由于
3355,off,"adv.(离)开(停)止出发距离隔断分割不继续运行下台adj.远的休
假的空闲的落后懈怠的prep.离开脱落下班vi.离开走开"
3356,offence,n.犯罪，犯规；冒犯
3357,offend,vt.冒犯犯罪vi.犯过错令人不适违反
3358,offensive,a.冒犯的；进攻的
3359,offer,vt.提供提出出价贡献奉献vi.提议出现求婚n.提供出价
3360,office,n.办公室职务事务处局社
3361,officer,n.官员干事军官vt.提供官员指挥
3362,official,adj.官员的官方的正式的有权威的n.官员
3363,offset,n.分支，抵销 vt.抵销
3364,offspring,n.儿女，子孙，后代
3365,often,adv.经常常常
3366,oh,int.嗬哦唉呀
3367,oil,n.油石油油画颜料奉承话vt.加油于涂油溶化
3368,okay,(缩作OK)adv.&adj.<表示同意或允许>对好同意vt.同意
3369,old,"a.老的某年龄的以前的陈旧的熟悉的成熟的...岁的n.古时某年
龄"
3370,omit,vt.省略省去遗漏疏忽
3371,on,"prep. 在...上在...旁由...支撑着在(某一天)  使用根据,开
adv. 穿着向前(移动) 表示持续性adj.  表示已连接、处于工作
状态或使用中表示发生值班abbr. =Ontario安大略湖"
3372,once,adv.一次曾经n.一次conj.一旦
3373,one,"num.一pron.一个人某人任何人n.一第一个一美元纸币adj.单一
的某一个同一种类的同意的唯一的"
3374,oneself,pron.自己亲自
3375,onion,n.洋葱洋葱头
3376,only,"adv.只仅仅专门地唯一地刚才adj.最好的唯一的出众的conj.除
非但是然而毕竟"
3377,onto,prep.到...上
3378,opaque,a.不透明的；不传导的
3379,open,"adj.开的开着的开放的公开的vt.开打开公开开放开始vi.开通行
大叫n.公开户外空旷"
3380,opening,adj.开始的n.开始开口揭幕空缺的职务动词open的现在分词
3381,opera,n.歌剧挪威Opera软件公司的浏览器软件
3382,operate,vi.操作施行手术运转vt.起作用动手术
3383,operation,n.操作手术运算行动活动
3384,operational,adj.操作上的可使用的运作的
3385,operator,n.操作人员接线员管理者技工报务员
3386,opinion,n.意见看法主张判断
3387,opponent,n.对手敌手对抗者反对者adj.敌对的反对的
3388,opportunity,n.机会时机良机
3389,oppose,vt.反对反抗以...对抗抗争
3390,opposite,"adj.对面的相对的相反的n.对立物对立者对手adv.在对面地处于
相反位置地prep.在...对面"
3391,oppress,vt.压迫，压制；压抑
3392,optical,adj.眼的眼睛的视觉的光学的
3393,optimism,n.乐观，乐观主义
3394,optimistic,adj.乐观的乐观主义的
3395,optimum,n.最适条件，最适度
3396,option,n.选择选择权可选物vt.选择
3397,optional,adj.可以任意选择的
3398,or,conj.或或者即还是否则
3399,oral,adj.口头的口的n.口试
3400,orange,n.橙(树)柑(树)橙黄色adj.橙色的
3401,orbit,"n.运行轨道势力范围眼眶轨迹vt.环绕绕轨道而行进入轨道vi.盘
旋"
3402,orchestra,n.管弦乐队
3403,order,n.次序整齐勋章阶级决议订单命令vt.命令调整定购
3404,orderly,"adj.整洁的有秩序的一丝不苟的和平的adv.有秩序地有条理地依
次地n.勤务兵(医院的)勤务工"
3405,ordinary,adj.平常的平凡的普通的
3406,ore,n.矿矿石矿砂
3407,organ,n.器官机构管风琴机关报刊
3408,organic,adj.有机体的器官的根本的接近自然的n.有机物质
3409,organism,n.生物体有机体
3410,organization,n.组织团体机构adj.有组织的
3411,organize,vt.组织编组vi.组织起来
3412,orient,n.东方；亚洲，远东
3413,oriental,a.东方的；东方国家的
3414,orientation,n.向东；定位；方向
3415,origin,n.起源由来出身
3416,original,"adj.最初的新颖的原始的有独创性的原版的n.原件原稿有独创性
的人怪人"
3417,originate,vi.发源 vt.首创
3418,ornament,n.装饰物 vt. 装修
3419,orphan,n.孤儿adj.无双亲的孤儿的vt.成孤儿
3420,Orthodox,"a. 正统的,传统的,惯常的"
3421,other,"adj.另外的别的其余的pron.另一个人(或事)n.其他人(或
事)adv.否则不同地"
3422,otherwise,adv.另外要不然否则不同地在不同方面pron.其他adj.不同的
3423,ought,v.aux.应当应该conj.应该大概
3424,ounce,n.盎司英两
3425,our,pron.我们的adj.我们的
3426,ours,pron.我们的
3427,ourselves,pron.我们自己
3428,out,"adv. 出在外向外出现现出来离岸外出出去出局用尽完成结束
adj.  外面的向外的落伍的不做考虑的vt. 释放出结露vi. 揭发
prep.  向外通过n. 外面在野者下台者出局的一击"
3429,Outbreak,n.(战争、愤怒等)爆发
3430,outcome,n.结果后果成果
3431,outdoor,adj.户外的室外的野外的露天的
3432,outdoors,adv.在户外在野外n.露天野外名词outdoor的复数形式
3433,outer,adj.外部的外面的
3434,outlet,n.出口出路通风口批发商店排遣
3435,outline,n.轮廓略图大纲概要素描vt.描画轮廓描述要点
3436,outlook,n.观点看法展望前景景色
3437,output,n.产量输出量输出输出功率输出端vt.输出(信息等)
3438,outset,n.开始开端
3439,outside,n.外部外表adj.外部的adv.在外面prep.在...外pron.在...外边
3440,outskirt,n.外边郊区
3441,outstanding,adj.突出的杰出的显著的未支付的
3442,outward,adj.外面的向外的表面的外部的adv.向外在外表面
3443,outwards,adv.向外在外外表上往海外=outward
3444,oval,a.卵形的 n.卵形
3445,oven,n.炉灶烘箱烤炉
3446,over,"prep.在...上方超过表示能控制在...期间adj.结束的超过的多
余的adv.结束落下穿过完全覆盖vt.越过"
3447,overall,"n.工装裤防护服罩衫adj.全面的全部的全体的一切在内的adv.总
的来说全部地"
3448,overcoat,n.外衣大衣
3449,overcome,vt.战胜克服(感情等)压倒使受不了vi.获胜赢
3450,overflow,vt.从…中溢出
3451,overhead,"adj.在头顶上的架空的高架的n.经常开支普通用费adv.在头顶上
在空中在高处"
3452,overhear,vt.偶然听到；偷听
3453,overlap,vt.与…交搭 vi.重迭
3454,overlook,vt.眺望俯瞰远眺看漏放任没注意到忽视n.高出
3455,overnight,adv.一夜昨晚一晚上突然adj.通宵的晚上的前夜的n.前晚
3456,overseas,adv.在海外adj.在海外的
3457,Overt,"a. 明显的,公然的"
3458,overtake,vt.追上赶上压倒突然来袭
3459,overthrow,vt.推翻 n.推翻，瓦解
3460,overtime,"adj.超时的加班的adv.在规定时间之外(超出时间地)n.加班时间
(加班加点费)"
3461,overwhelm,vt.压倒，使不知所措
3462,owe,vt.欠(债等)应把...归功于vi.欠钱
3463,owl,n.猫头鹰枭
3464,own,adj.自己的嫡亲的vt.有拥有承认vi.承认pron.自己的
3465,owner,n.物主所有人
3466,ownership,n.所有(权)所有制
3467,ox,n.牛公牛阉牛
3468,oxide,n.氧化物
3469,P.M.,n.下午午后abbr.下午(=post meridiem
3470,pamphlet,n.小册子
3471,panic,n.恐慌，惊慌
3472,paradise,n.伊甸乐园；天堂
3473,paradox,"n. 似非而是的论点,自相矛盾的话"
3474,paralyze,"vt. 使瘫痪,使麻痹"
3475,parameter,n.参(变)数；参量
3476,participant,n.参加者 a.有份的
3477,partition,n.分开，分割；融墙
3478,pastime,n.消遣，娱乐
3479,pasture,n.牧场；牲畜饲养
3480,patent,a.专利的 n.专利
3481,pathetic,a.哀婉动人的；可怜的
3482,patriotic,a.爱国的
3483,patrol,n.巡逻 n.巡逻，巡查
3484,pave,vt.铺，筑(路等)
3485,pearl,n.珍珠；珍珠母
3486,pedal,n.踏脚，踏板，脚蹬
3487,pedestrian,n.行人，步行者
3488,peel,vt.剥(皮)，削(皮)
3489,peer,vi.凝视；隐约出现
3490,penalty,n.处罚，刑罚；罚款
3491,Pendulum,n.(钟等的)摆
3492,pension,n.抚恤金，年金
3493,perception,n.感觉；概念；理解力
3494,perfection,n.尽善尽美；无比精确
3495,perfume,n.香味，芳香；香料
3496,periodic,n.周期的； 一定时期的
3497,periodical,n.期刊，杂志
3498,perish,vi.死亡，夭折；枯萎
3499,Permeate,"vt. 弥漫,渗透,充满 vi. 透入"
3500,Permissible,a. 可允许的
3501,perpetual,a.永久的；四季开花的
3502,perplex,vt.迷惑，困惑，难住
3503,Persistent,"a. 固执的, 坚持的, 持续的"
3504,pest,n.害虫；害人虫
3505,petition,n.请愿 vt.向…请愿
3506,petty,a.细小的；器量小的
3507,phase,n.阶段时期局面方面相位vt.逐步执行实行按计划进行
3508,phenomenon,n.现象非凡的人或事物
3509,philosopher,n.哲学家思想家达观者
3510,philosophy,n.哲学哲理人生观
3511,phone,"n.电话电话机耳机,音素v.打电话suf.表示“声音说...语言的人
”"
3512,photograph,n.照片相片vi.照相摄影vt.给...照相
3513,photographic,adj.摄影的摄影用的逼真的
3514,phrase,"n.短语习惯用语个人风格乐句vt.措词表达将(乐曲)分成乐句(来
演奏)"
3515,physical,adj.身体的物质的物理的n.体检
3516,physician,n.医生内科医生
3517,physicist,n.物理学家<古>自然科学家
3518,physics,n.物理学
3519,Physiological,"a. 生理学的, 生理学上的"
3520,piano,n.钢琴adj. & adv.轻柔
3521,pick,"n.镐鹤嘴锄采摘精选精品收获量vt.拾摘挑选挑惕剔除戳撬vi.慎
选凿吹毛求疵采收采摘"
3522,picnic,n.郊游野餐愉快的时间猪脊肉vi.野餐
3523,picture,n.画图片照片景色vt.画描写想像
3524,pie,n.(西点)馅饼派杂乱喜鹊爱说话的人饼图vt.弄乱
3525,piece,n.碎片块片篇vt.拼合修补结合
3526,pierce,vt.剌穿穿透洞悉vi.穿入n. 皮尔斯
3527,pig,n.猪小猪野猪
3528,pigeon,n.鸽子
3529,pile,n.堆桩大量核反应堆vt.堆叠堆积累积装载vi.形成堆拥挤进入
3530,pill,"n.药丸丸剂无法逃避的讨厌事屈辱事vt.服用药丸把...制成药丸
被抢劫vi.起球粒成丸状阶段性完成"
3531,pillar,n.柱柱子栋梁支柱核心(人物)vt.用柱支持
3532,pillow,n.枕头vt.枕搁垫
3533,pilot,n.领航员飞行员引航员vt.领航驾驶向导adj.引导的示范的
3534,pin,"n.针饰针大头针拴(有别针的)徽章小东西(复数)腿别住vt.将...
用针别住钉住压住adj.别针的"
3535,pinch,vt.捏拧掐掉一撮少量困苦偷窃vt.掐使...困苦偷窃
3536,pine,n.松树松木vi.消瘦憔悴渴望
3537,pink,n.粉红色石竹花典范adj.粉红色的激进的vt.刺
3538,pint,n.品脱
3539,pioneer,n.拓荒者先驱者先锋vt.提倡开辟vi.做先驱
3540,pipe,"n.管子导管烟斗笛vt.以管输送装管道吹奏尖声说拷边vi.吹奏管
乐尖叫"
3541,pipeline,n.管道管线
3542,pistol,n.手枪vt.用手枪射击
3543,pit,"n.坑地坑煤矿深坑核矿井陷阱英国剧场正厅后排凹陷疤痕
vt.使...有伤痕去...的核与...较量"
3544,pitch,"n.沥青树脂松脂n.程度投掷球场音高vt.投掷颠簸扎牢搭帐篷定
调vi.用沥青覆盖投掷"
3545,pity,n.怜悯遗憾遗憾的事vt.同情怜悯
3546,place,n.地方地点住所职位获奖的名次vt.放置任命安排vi.获得名次
3547,plague,n.瘟疫，鼠疫；天灾
3548,plain,n.平原草原adj.清楚的坦白的简单的平坦的平常的纯的
3549,plan,n.计划策略方法vt.计划设计打算vi.打算
3550,plane,"n.平面飞机刨子(动植物的)属adj.平的与飞机有关的vt.磨平刨
vi.开飞机"
3551,planet,n.行星
3552,plant,n.植物工厂设施设备vt.栽种种植建立设立
3553,plantation,n.种植园大农场殖民地栽植
3554,plaster,n.灰泥硬膏熟石膏膏药v.涂以灰泥敷以膏药使...平
3555,plastic,adj.可塑料的可塑的体态好的n.塑料(外科)整形的信用卡
3556,plate,"n.板片盘碟金属板板块vt.镀金电镀为...制印版给...装钢板用
金属板固定"
3557,plateau,n.高原；平稳时期
3558,platform,n.平台站台讲台月台坛计划
3559,Plausible,"a. 似乎真实的, 似乎合理的"
3560,play,"vi.玩游戏演奏进行比赛播放捉弄假装n.游戏游玩剧本比赛比赛
中的动作影响"
3561,player,n.游戏的人比赛者演奏者演员播放器
3562,playground,n.操场运动场
3563,plea,n.请愿，请求，恳求
3564,plead,vt.为…辩护 vi.抗辩
3565,pleasant,adj.令人愉快的舒适的vi.满意喜欢vt.使高兴
3566,please,vt.取悦使高兴合心意请vi.取悦满意adv.请
3567,pleasure,n.愉快快乐乐事vt.使高兴vi.享受快乐高兴
3568,pledge,n.誓言 vt.使发誓
3569,plentiful,adj.丰富的富裕的多的
3570,plenty,n.丰富充足大量繁荣adj.充足的adv.非常
3571,plot,n.小块土地阴谋情节图vt.密谋绘图计划标示位置
3572,plough,n.犁耕地vt. &vi.犁耕用犁耕田耕犁
3573,pluck,vt.采摘拉下猛拉拔n.拉猛拉勇气动物内脏
3574,plug,n.塞子插头消防拴电插头vt.塞射杀宣传vi.射杀持续的工作
3575,plunge,"vt.使投入使陷入vi.投入骤降使...陷入全神贯注于n.突然跌落
跳水"
3576,plural,adj.复数的n.复数
3577,plus,prep.加加上另外adj.正的略高于n.加号正号优势conj.并且
3578,pocket,"n.衣袋口袋钱袋袖珍的vt.装...在口袋里隐藏私吞adj.小型的钱
的"
3579,poem,n.诗韵文诗体文
3580,poet,n.诗人
3581,poetry,n.诗诗歌诗作
3582,point,n.点要点细目分尖端细节目标
3583,poison,n.毒毒药败坏道德之事毒害vt.毒害摧毁中毒adj.有毒的
3584,poisonous,adj.有毒的有害的恶意的
3585,poke,vt.戳，刺；伸(头等)
3586,polar,a.南(北)极的；极性的
